time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1.01,0.062459671081602365,-0.08030529139063161,0.04461405077257312,-1.51316704326702,0.0356912406180585,1.5803052913906317,0.8375403289183977,0.18191589505471012,-0.2338918650703416,0.12993992503907867,-0.21310147706408908,0.10395194003126294,0.23389186507034157,-0.18191589505471012,0.26609917481508916,-0.3421275104765432,0.19007083915363512,-0.31171617621196174,0.15205667132290812,0.34212751047654316,-0.26609917481508916
1.02,0.06429208712192004,-0.08266125487104006,0.04592291937280003,-1.515313587771392,0.03673833549824003,1.5826612548710401,0.83570791287808,0.18456246547199992,-0.23729459846399992,0.13183033247999995,-0.21620174526719999,0.10546426598399997,0.2372945984639999,-0.18456246547199992,0.2631906816000005,-0.33838801920000067,0.18799334400000037,-0.3083090841600007,0.1503946752000003,0.3383880192000006,-0.2631906816000005
1.03,0.06615082102634995,-0.0850510556053071,0.04725058644739283,-1.5174909617737242,0.03780046915791427,1.585051055605307,0.8338491789736501,0.18717922707196108,-0.24065900623537853,0.13369944790854363,-0.21926709457001162,0.1069595583268349,0.2406590062353785,-0.18717922707196108,0.2601377065412897,-0.33446276555308674,0.18581264752949264,-0.304732741948368,0.14865011802359412,0.33446276555308674,-0.2601377065412897
1.04,0.0680355675124669,-0.08747430108745745,0.04859683393747636,-1.5196988076574611,0.03887746714998109,1.5874743010874575,0.8319644324875332,0.18976474402016277,-0.24398324231163787,0.1355462457286877,-0.2222958429950479,0.10843699658295017,0.24398324231163784,-0.18976474402016277,0.25694205921097424,-0.33035407612839546,0.18353004229355302,-0.30098926936142706,0.1468240338348424,0.3303540761283954,-0.25694205921097424
1.05,0.06994600703125001,-0.08993058046875002,0.04996143359375001,-1.52193675109375,0.03996914687500001,1.58993058046875,0.83005399296875,0.19231759895833328,-0.24726548437499996,0.13736971354166663,-0.22528633020833336,0.10989577083333331,0.24726548437499993,-0.19231759895833328,0.2536056250000002,-0.3260643750000003,0.18114687500000015,-0.29708087500000036,0.14491750000000012,0.32606437500000024,-0.2536056250000002
1.06,0.07188180595560882,-0.09241946480006849,0.05134414711114916,-1.5242044012622846,0.04107531768891933,1.5924194648000685,0.8281181940443912,0.19483639375448367,-0.2505039348271933,0.13916885268177406,-0.22823691839810956,0.11133508214541926,0.2505039348271933,-0.19483639375448367,0.2501303635050756,-0.321596181649383,0.1786645453607683,-0.2930098543916601,0.14293163628861466,0.3215961816493829,-0.2501303635050756
1.07,0.07384261677632947,-0.0949405072838522,0.052744726268806774,-1.5265013510808432,0.042195781015045425,1.5949405072838523,0.8261573832236706,0.1973197502368993,-0.2536968217331563,0.14094267874064237,-0.23114599313465356,0.1127541429925139,0.2536968217331562,-0.1973197502368993,0.24651830691550125,-0.3169521088913588,0.17608450493964375,-0.28877858810101587,0.14086760395171502,0.3169521088913587,-0.24651830691550125
1.08,0.07582807830528004,-0.09749324353536007,0.054162913075200034,-1.528827177443328,0.04333033046016003,1.5974932435353602,0.82417192169472,0.19976631091200003,-0.2568423997440001,0.14269022208000004,-0.23401196421120016,0.11415217766400004,0.256842399744,-0.19976631091200003,0.24277155839999973,-0.3121348607999997,0.17340825599999982,-0.2843895398399998,0.13872660479999985,0.31213486079999964,-0.24277155839999973
1.09,0.07783781588571409,-0.10007719185306099,0.055598439918367215,-1.5311814414661222,0.04447875193469378,1.600077191853061,0.8221621841142859,0.2021747396660681,-0.2599389509992304,0.1444105283329058,-0.2368332664659656,0.11552842266632464,0.2599389509992304,-0.2021747396660681,0.23889229049355254,-0.3071472306345676,0.17063735035253755,-0.2798452545781617,0.13650988028203004,0.30714723063456756,-0.23889229049355254
1.1,0.07987144160951076,-0.10269185349794241,0.057051029721079116,-1.5335636887425697,0.04564082377686329,1.6026918534979424,0.8201285583904893,0.20454372245084596,-0.26298478600823055,0.1461026588934614,-0.2396083605852768,0.11688212711476914,0.2629847860082305,-0.20454372245084596,0.2348827434842249,-0.30199209876543204,0.1677733882030178,-0.2751483566529493,0.13421871056241425,0.301992098765432,-0.2348827434842249
1.11,0.08192855454119001,-0.10533671298153002,0.05852039610085001,-1.535973449605394,0.04681631688068001,1.60533671298153,0.81807144545881,0.2068719679530002,-0.2659782445110003,0.14776569139500015,-0.24233573388780033,0.11821255311600012,0.2659782445110002,-0.2068719679530002,0.23074522379999987,-0.29667243059999987,0.16481801699999993,-0.27030154788,0.13185441359999994,0.2966724305999998,-0.23074522379999987
1.12,0.08400874094854205,-0.10801123836241122,0.0600062435346729,-1.5384102393968635,0.04800499482773832,1.6080112383624112,0.815991259051458,0.20915820824745496,-0.2689176963181564,0.14939872017675354,-0.2450139010898759,0.11951897614140283,0.2689176963181564,-0.20915820824745496,0.22648210239561042,-0.291191274508642,0.1617729302825789,-0.2653076056634295,0.1294183442260631,0.29119127450864196,-0.22648210239561042
